sku,nombre,categoria,subcategoria,marca,calibre_awg,num_conductores,voltaje,apantallado,chaqueta,norma,aplicacion,potencia_hp,voltaje_entrada,serie,descripcion_corta,imagen
107115,16/4TR STOS W/DRAIN FREP/CPE,Cables especiales,Cables apantallados,,16,4,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107116,16/6TR STOS W/DRAIN FREP/CPE,Cables especiales,Cables apantallados,,16,6,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107117,16/8TR STOS W/DRAIN FREP/CPE,Cables especiales,Cables apantallados,,16,8,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107118,12/3C 600V SDN M1/E2 90C DRY,Cables especiales,Cables apantallados,,12,3,600 V,No,NEOPRENE,,,,,,,
107119,12 AWG 4 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,12,4,600 V,No,NEOPRENE,,,,,,,
107120,12 AWG 6 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,12,6,600 V,No,NEOPRENE,,,,,,,
107121,14 AWG 3 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,14,3,600 V,No,NEOPRENE,,,,,,,
107122,14/4C 600V SDN M1/E2 90C DRY,Cables especiales,Cables apantallados,,14,4,600 V,No,NEOPRENE,,,,,,,
107123,14 AWG 6 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,14,6,600 V,No,NEOPRENE,,,,,,,
107124,14 AWG 8 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,14,8,600 V,No,NEOPRENE,,,,,,,
107125,14 AWG 10 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,14,10,600 V,No,NEOPRENE,,,,,,,
107126,14/12C 600V SDN M1/E2 90C DRY,Cables especiales,Cables apantallados,,14,12,600 V,No,NEOPRENE,,,,,,,
107127,14 AWG 16 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,14,16,600 V,No,NEOPRENE,,,,,,,
107128,14 AWG 24 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,14,24,600 V,No,NEOPRENE,,,,,,,
107129,14/37C 600V SDN M1/E2 90C DRY,Cables especiales,Cables apantallados,,14,37,600 V,No,NEOPRENE,,,,,,,
107130,16 AWG 4 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,16,4,600 V,No,NEOPRENE,,,,,,,
107131,16/5C 600V SDN M1/E2 90C DRY,Cables especiales,Cables apantallados,,16,5,600 V,No,NEOPRENE,,,,,,,
107132,16 AWG 6 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,16,6,600 V,No,NEOPRENE,,,,,,,
107133,16 AWG 8 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,16,8,600 V,No,NEOPRENE,,,,,,,
107134,16 AWG 10 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,16,10,600 V,No,NEOPRENE,,,,,,,
107135,16 AWG 14 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,16,14,600 V,No,NEOPRENE,,,,,,,
107136,16 AWG 16 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,16,16,600 V,No,NEOPRENE,,,,,,,
107137,16 AWG 24 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,16,24,600 V,No,NEOPRENE,,,,,,,
107138,16 AWG 30 conductors SDN Small Diameter Neoprene,Cables especiales,Cables apantallados,,16,30,600 V,No,NEOPRENE,,,,,,,
