sku,nombre,estado_staging,source_key,nota_staging
SRT-PENDING-E67A9A1A46DB,Pendiente de verificación - Cable Solar Fotovoltaico 35Mm2,pendiente_investigacion,CC-CABLE-SOLAR-FOTOVOLTAICO-35MM2,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-86A1C7E43C49,Pendiente de verificación - Cable Solar Fotovoltaico 16Mm2,pendiente_investigacion,CC-CABLE-SOLAR-FOTOVOLTAICO-16MM2,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-03D1945CFA7D,Pendiente de verificación - Cable Solar Fotovoltaico 50Mm2,pendiente_investigacion,CC-CABLE-SOLAR-FOTOVOLTAICO-50MM2,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-7D60DB9DFF53,Pendiente de verificación - Cable Iluminación AWM CC 10 AWG Cu PVC 105°,pendiente_investigacion,CC-CABLE-ILUMINACION-AWM-CC-10-AWG-CU-PVC-105-9,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-EA778CFDDA9B,Pendiente de verificación - Cable Iluminación AWM CC 12 AWG Cu PVC 105°,pendiente_investigacion,CC-CABLE-ILUMINACION-AWM-CC-12-AWG-CU-PVC-105-5,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-EAC8A473BFEB,Pendiente de verificación - Cable Iluminación AWM CC 14 AWG Cu PVC 105°,pendiente_investigacion,CC-CABLE-ILUMINACION-AWM-CC-14-AWG-CU-PVC-105-1,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-C4114DD1AC80,Pendiente de verificación - Cable Iluminación AWM CC 16 AWG Cu PVC 105°,pendiente_investigacion,CC-CABLE-ILUMINACION-AWM-CC-16-AWG-CU-PVC-105-7,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-412FFC5C94B9,Pendiente de verificación - Cable Iluminación AWM CC 18 AWG Cu PVC 105°,pendiente_investigacion,CC-CABLE-ILUMINACION-AWM-CC-18-AWG-CU-PVC-105-2,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-3370646577EB,Pendiente de verificación - Cable Iluminación AWM CC 20 AWG Cu PVC 105°,pendiente_investigacion,CC-CABLE-ILUMINACION-AWM-CC-20-AWG-CU-PVC-105-3,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-919E21897BBE,Pendiente de verificación - Cable Instrumentación 2x18+20 awg cu pvc tc 105°c 600v/300v,pendiente_investigacion,CC-CABLE-INSTRUMENTACION-2X18-20-AWG-CU-PVC-TC-105-C-600V-300V,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-B4AEE6492655,Pendiente de verificación - Cable Instrumentación 3x18+20 awg cu pvc tc 105°c 600v/300v,pendiente_investigacion,CC-CABLE-INSTRUMENTACION-3X18-20-AWG-CU-PVC-TC-105-C-600V-300V,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-94AC706D41A6,Pendiente de verificación - Cable Instrumentación 4x18+20 awg cu pvc tc 105°c 600v/300v,pendiente_investigacion,CC-CABLE-INSTRUMENTACION-4X18-20-AWG-CU-PVC-TC-105-C-600V-300V,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
